Grid,MeanLapTime_sec,AirTemp,TrackTemp,Humidity,Rainfall,Team_Alfa Romeo,Team_Alfa Romeo Racing,Team_AlphaTauri,Team_Alpine,Team_Aston Martin,Team_Ferrari,Team_Force India,Team_Haas F1 Team,Team_Kick Sauber,Team_McLaren,Team_Mercedes,Team_RB,Team_Racing Point,Team_Red Bull Racing,Team_Renault,Team_Sauber,Team_Toro Rosso,Team_Williams,Team_nan
3.0,,22.73006134969325,33.44601226993865,75.38036809815951,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2.0,,17.449549549549552,30.13963963963964,54.15765765765766,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
18.0,,26.89421487603306,54.525619834710746,39.09090909090909,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
4.0,,27.73469387755102,43.13877551020408,33.14965986394558,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
14.0,,33.75887850467289,51.08971962616822,33.00654205607477,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
8.0,,29.28529411764706,35.523529411764706,49.62352941176471,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
7.0,,26.018045112781955,29.566165413533835,64.47142857142858,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
9.0,,19.392537313432832,38.950746268656715,39.403731343283575,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,,20.96602564102564,33.18397435897436,49.73076923076923,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
13.0,,28.806060606060612,40.34242424242424,51.362878787878785,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
15.0,,15.77074829931973,27.670068027210885,67.33333333333333,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
17.0,,29.28529411764706,35.523529411764706,49.62352941176471,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0.0,,22.02977099236641,34.33206106870229,67.41526717557252,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
13.0,,26.210852713178294,28.610852713178296,53.372093023255815,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
4.0,,16.66140350877193,25.25175438596491,45.651754385964914,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
10.0,,26.41513157894737,30.60328947368421,75.54013157894737,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19.0,,19.88867924528302,35.60251572327045,51.0503144654088,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
