Season,Race,Driver,Team,Grid,Position,MeanLapTime,AirTemp,TrackTemp,Humidity,Rainfall,NumPitStops,PitStopLaps,PitCompounds,AvgPitStopDuration
2023,Monaco Grand Prix,ZHO,Alfa Romeo,19.0,13.0,0 days 00:01:25.764051948,25.06590909090909,39.25568181818182,45.86363636363637,True,0,,,
2023,Monaco Grand Prix,HUL,Haas F1 Team,18.0,17.0,0 days 00:01:26.585342105,25.06590909090909,39.25568181818182,45.86363636363637,True,0,,,
2023,Monaco Grand Prix,OCO,Alpine,3.0,3.0,0 days 00:01:24.217564102,25.06590909090909,39.25568181818182,45.86363636363637,True,0,,,
2023,Monaco Grand Prix,NOR,McLaren,10.0,9.0,0 days 00:01:24.883649350,25.06590909090909,39.25568181818182,45.86363636363637,True,0,,,
2023,Monaco Grand Prix,HAM,Mercedes,5.0,4.0,0 days 00:01:24.244128205,25.06590909090909,39.25568181818182,45.86363636363637,True,0,,,
2023,Monaco Grand Prix,SAI,Ferrari,4.0,8.0,0 days 00:01:24.556038461,25.06590909090909,39.25568181818182,45.86363636363637,True,0,,,
2023,Monaco Grand Prix,RUS,Mercedes,8.0,5.0,0 days 00:01:24.400820512,25.06590909090909,39.25568181818182,45.86363636363637,True,0,,,
2023,Monaco Grand Prix,BOT,Alfa Romeo,15.0,11.0,0 days 00:01:25.207051948,25.06590909090909,39.25568181818182,45.86363636363637,True,0,,,
2023,Monaco Grand Prix,PIA,McLaren,11.0,10.0,0 days 00:01:25.012194805,25.06590909090909,39.25568181818182,45.86363636363637,True,0,,,
2023,Spanish Grand Prix,VER,Red Bull Racing,1.0,1.0,0 days 00:01:19.968787878,22.674025974025977,33.838961038961045,63.077922077922075,False,0,,,
2023,Spanish Grand Prix,HAM,Mercedes,4.0,2.0,0 days 00:01:20.333787878,22.674025974025977,33.838961038961045,63.077922077922075,False,0,,,
2023,Spanish Grand Prix,RUS,Mercedes,12.0,3.0,0 days 00:01:20.459530303,22.674025974025977,33.838961038961045,63.077922077922075,False,0,,,
2023,Spanish Grand Prix,PER,Red Bull Racing,11.0,4.0,0 days 00:01:20.511393939,22.674025974025977,33.838961038961045,63.077922077922075,False,0,,,
